Colecciones RBA;En forma con tu entrenador personal ;La coleccion En forma con tu Entrenador Personal te ensenyara los ejercicios paso a paso para trabajar todo tu cuerpo. Ejercitaras cada grupo muscular en amenas rutinas que avanzan, sesion tras sesion, con nuevos ejercicios y consejos.;http://www.rbacoleccionables.com/img/es/2601884_1_2.gif;http://www.rbacoleccionables.com/enforma2012/presentacion/;;;Cada envio tiene un precio de 7,95Eur. ;La coleccion completa esta compuesta por 9 envios (30 entregas, 30 DVD + 30 fasciculos).;x
Colecciones RBA;Curso de baile. Tu academia en casa ;"Aprende a bailar paso a paso y de forma progresiva con este exclusivo curso audiovisual de bailes latinos y de salon. Dejate llevar por los mas expertos profesores 
y convierte tu casa en una academia de bailes. ";http://www.rbacoleccionables.com/img/es/2601885_1_2.gif;http://www.rbacoleccionables.com/curssodebaile2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 10 envios (33 DVD + 33 FICHAS) + 1 archivador y separadores para clasificar todas las fichas de la coleccion.;x
Colecciones RBA;Curso practico de dibujo y pintura ;Aprende paso a paso todos los secretos de cada tecnica artistica y los fundamentos teoricos que necesitas para crear tus propias obras con este exclusivo y completo curso practico que te ofrece RBA.;http://www.rbacoleccionables.com/img/es/2601887_1_2.gif;http://www.rbacoleccionables.com/dyp2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 11 envios (80 fasciculos + 40 DVD y mas de 40 complementos de Dibujo y Pintura + 3 archivadores para clasificar la coleccion).;x
Colecciones RBA;Tu ingles en forma ;English Fitness es una herramienta de aprendizaje muy flexible y facil de asimilar, y su objetivo es estimular y contribuir al conocimiento y practica del lenguaje de acuerdo con las necesidades individuales y aclarar todas tus dudas. ;http://www.rbacoleccionables.com/img/es/2601892_1_2.gif;http://www.rbacoleccionables.com/tuinglesenforma2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 9 envios (30 Libros-DVD). ;x
Colecciones RBA;Biblioteca Osprey Soldados de la II Guerra Mundial ;Una coleccion de libros que detalla las tacticas de combate, el armamento y el equipo de los ejercitos y las unidades mas destacadas de la II Guerra Mundial.;http://www.rbacoleccionables.com/img/es/2601769_1_2.gif;http://www.rbacoleccionables.com/ospreysoldados2012/presentacion/;;;Cada envio tiene un precio de 7,95Eur. ;La coleccion completa esta compuesta por 16 envios (61 libros).;x
Colecciones RBA;Novela romantica highlanders;Una coleccion que reune las mas populares sagas de novelas ambientadas en las highlands escocesas. Dejate seducir por este lugar y abandonate al hechizo de los irresistibles personajes que lo habitan: los highlanders, senyores medievales cuya historia esta ligada a los antiguos clanes y tradiciones de las Tierras Altas escocesas.;http://www.rbacoleccionables.com/img/es/2605087_1_2.gif;http://www.rbacoleccionables.com/highlanders2012/presentacion/;;;Cada envio tiene un precio de 7,95Eur. ;La coleccion completa esta compuesta por 14 envios (51 libros).;x
Colecciones RBA;Biblioteca Osprey de la Edad Media ;"La prestigiosa editorial OSPREY PUBLISHING nos presenta los grandes cambios de la historia europea, la expansion del islam y la aventura de las cruzadas. Un viaje en el tiempo que nos permitira entender mejor muchos de los actuales conflictos que afectan a Europa y a sus relaciones con el mundo islamico. 
";http://www.rbacoleccionables.com/img/es/2601877_1_2.gif;http://www.rbacoleccionables.com/edadmediaosprey2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 11 envios (40 libros).;x
Colecciones RBA;Curso audiovisual de ajedrez ;Perfecciona tu nivel y da un salto cualitativo en tu juego con un metodo de estudio innovador. Progresa en el juego, paso a paso sin dar nada por sabido, domina todas las tecnicas y eleva rapidamente tu nivel de juego resolviendo los problemas del ajedrez para competir con exito. ;http://www.rbacoleccionables.com/img/es/2601667_1_2.gif;http://www.rbacoleccionables.com/cursodeajedrez2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 11 envios (40 Libros-DVD).;x
Colecciones RBA;National Geographic Curso de fotografia y video ;"Descubre todo lo que puedes hacer con tus camaras de fotografia y video a traves de nuestro eficaz metodo progresivo, con el que aprenderas facilmente las tecnicas y aplicaciones que necesitas conocer para conseguir los mejores resultados en tus instantaneas y videos. 
";http://www.rbacoleccionables.com/img/es/2601891_1_2.gif;http://www.rbacoleccionables.com/cursodefotoyvideo2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 6 envios (20 libros-DVD).;x
Colecciones RBA;Atlas National Geographic;Una obra indispensable para toda la familia que proporciona informacion precisa y exhaustiva del planeta en que vivimos y nos ayuda a explorar el cosmos a traves del fascinante viaje que nos ofrecen sus paginas ilustradas. ;http://www.rbacoleccionables.com/img/es/2601881_1_2.gif;http://www.rbacoleccionables.com/atlasnationalgeographic2012/presentacion/;;;Cada envio tiene un precio de 9,95Eur. ;La coleccion completa esta compuesta por 8 envios (25 volumenes).;x
